50 120 480 1250
18088753 10 0 18835281 512
18154289 10 0 18835281 512
18285361 10 0 18835296 512
18350897 10 0 18835296 512
18481969 10 0 18835296 512
18547505 10 0 18835296 512
18744113 10 0 18835296 512
18809649 10 0 18835296 512
19071793 10 0 18835296 512
19137329 10 0 18835296 512
19202865 10 0 18835312 512
19399473 10 0 18835312 512
19530545 10 0 18835312 512
19596081 10 0 18835312 512
19727153 10 0 18835312 512
19858225 10 0 18835312 512
19923761 10 0 18835312 512
20054833 10 0 18835312 512
20185905 10 0 18835328 512
20316976 10 0 18835328 512
20448048 10 0 18835328 512
20579120 10 0 18835328 512
20775727 10 0 18835328 512
20906799 10 0 18835328 512
20906799 10 0 18835328 514
23397121 10 0 18835437 513
23462656 10 0 18835437 512
23462655 10 0 18835437 512
23528190 10 0 18835437 512
23593724 10 0 18835437 512
23593723 10 0 18835437 512
23659258 10 0 18835437 512
23659257 10 0 18835437 512
23724792 10 0 18835453 512
23790327 10 0 18835453 512
23790326 10 0 18835453 512
23855861 10 0 18835453 512
23921396 10 0 18835453 512
23986931 10 0 18835453 512
24118002 10 0 18835468 512
24183537 10 0 18835468 512
24249073 10 0 18835468 512
24314609 10 0 18835468 512
24380145 10 0 18835468 512
24445681 10 0 18835468 512
24511217 10 0 18835484 512
24576753 10 0 18835484 512
24642289 10 0 18835484 512
24773361 10 0 18835484 512
24904433 10 0 18835484 512
24969969 10 0 18835500 512
25166577 10 0 18835500 512
25297649 10 0 18835500 512
25428721 10 0 18835500 512
25559793 10 0 18835500 512
25625329 10 0 18835500 512
25690865 10 0 18835500 512
25821937 10 0 18835515 512
26018545 10 0 18835515 512
26084081 10 0 18835515 512
26215153 10 0 18835515 512
26346226 10 0 18835515 512
26411762 10 0 18835515 512
26542835 10 0 18835515 512
26608372 10 0 18835531 512
26804981 10 0 18835531 512
26870517 10 0 18835531 512
26936054 10 0 18835531 512
27001591 10 0 18835531 512
27132663 10 0 18835531 512
27132664 10 0 18835531 512
27198200 10 0 18835531 512
27263737 10 0 18835546 512
27329274 10 0 18835546 512
27394810 10 0 18835546 512
27394812 10 0 18835546 512
27460349 10 0 18835546 512
27591422 10 0 18835546 512
27591423 10 0 18835546 512
27591424 10 0 18835546 512
27788039 10 0 18835562 512
27853577 10 0 18835562 512
27853579 10 0 18835562 512
27919117 10 0 18835562 512
27919120 10 0 18835562 512
27984659 10 0 18835562 512
27984661 10 0 18835578 512
27984666 10 0 18835578 512
27984667 10 0 18835578 512
27984670 10 0 18835578 512
27984674 10 0 18835578 512
27984680 10 0 18835578 512
27984682 10 0 18835578 512
27984685 10 0 18835578 512
27984689 10 0 18835593 512
